method,t,median,q1,q3,coverage
mde,0.16373238106090687,34.23913043478261,24.175918437369802,45.512552301255226,1.0
mde,0.19499253647599463,34.15435139573071,23.540620886598397,44.72368096471504,1.0
mde,0.232220951255807,33.98550724637681,22.82693873680923,44.34102790349055,1.0
mde,0.2765570989369163,33.43023255813954,22.36449479062089,43.78967067998747,1.0
mde,0.3293580039130544,33.13953488372093,22.215241059277602,43.28622662454103,1.0
mde,0.39223977673534804,32.52864157119476,21.175881620920528,42.37413804864445,1.0
mde,0.46712707942573733,31.914893617021274,20.47756837555044,42.04077594522936,1.0
mde,0.5563120348195794,31.77257525083612,19.971947844705692,41.42253139330293,1.0
mde,0.6625243830127855,31.40394088669951,19.831560820910596,40.898282112692904,1.0
mde,0.7890150322360485,30.564648117839607,18.988859936169355,40.313421573556354,1.0
mde,0.9396555614503901,30.178716490658005,18.033293944168385,40.028501046417404,1.0
mde,1.1190567202026338,30.07364975450082,17.752393649254635,39.998507045217636,1.0
mde,1.3327095527405048,29.473244147157192,17.280405405405403,39.66866296905536,1.0
mde,1.5871534658620194,29.41640378548896,16.093702089447632,38.6944027986007,1.0
mde,1.8901763846576944,29.264214046822744,15.565636544161666,38.13042861591685,1.0
mde,2.251053122438406,28.762541806020064,15.202018266240309,36.34350891151095,1.0
mde,2.6808292607874016,27.944760357432983,14.398216084804416,35.915521718485905,1.0
mde,3.192659228632032,27.904142973192528,13.79534359385897,35.393334626813115,1.0
mde,3.802208928134209,27.414075286415713,13.206814445808966,34.88043396246752,1.0
mde,4.528135230823811,26.254180602006688,12.5891927300049,34.41144888362277,1.0
mde,5.3926570202151884,25.0,11.746466731669663,34.23526600771058,1.0
mde,6.422235259167707,25.0,11.265690780166167,33.307622248790345,1.0
mde,7.648382897240333,23.422562141491397,10.72724827711087,33.03776711097398,1.0
mde,9.108629407384788,23.050878477306004,10.382603879296571,32.25351432507789,1.0
mde,10.847669474159156,22.944550669216063,9.7476820991395,32.051582442785545,1.0
mde,12.91873099208564,22.13193116634799,9.032053193868965,31.975362930590418,1.0
mde,15.385204245339567,19.230769230769234,8.306415964551622,31.469345089654386,1.0
mde,18.322582134098628,19.230769230769234,7.57725070763496,30.917628758084433,1.0
mde,21.82077083328191,15.384615384615385,6.943626197355842,30.2348215088755,1.0
mde,25.98684160746592,14.602017937219731,6.461856444945509,29.85530812817347,1.0
mde,30.948308008510093,12.23021582733813,5.610694377624351,29.737976582749397,1.0
mde,36.85702876314293,11.666666666666666,5.205836749886858,28.892931387619274,1.0
mde,43.89385580864722,11.666666666666666,5.177651856989452,28.61936645053678,1.0
mde,52.27416974200008,11.538461538461538,4.96437054631829,27.967080222889052,1.0
mde,62.25447210944526,11.538461538461538,4.7091487321004895,27.237325299389266,1.0
mde,74.14023631085618,9.615384615384615,4.258657995027745,26.42943163433369,1.0
mde,88.29525741646478,9.615384615384615,3.9477217089157386,25.9463074572335,1.0
mde,105.1527870716838,9.615384615384615,3.7326525268394866,25.370317062387347,1.0
mde,125.2287943030676,9.615384615384615,3.7326525268394866,24.95153089730696,1.0
